1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0.58817
56	-1.8365
57	0.66856
58	0.29764
59	1.0111
60	0.86479
61	0.93067
62	0.7557
63	0.64683
64	0.50601
65	0.41853
66	0.35738
67	0.33752
68	0.34305
69	0.36896
70	0.40384
71	0.44123
72	0.47523
73	0.50312
74	0.52373
75	0.53754
76	0.54577
77	0.55009
78	0.55209
79	0.55312
80	0.55414
81	0.55573
82	0.55813
83	0.56132
84	0.56513
85	0.56932
86	0.57366
87	0.57792
88	0.58197
89	0.58572
90	0.58914
91	0.59223
92	0.59505
93	0.59763
94	0.60002
95	0.60227
96	0.60442
97	0.60649
98	0.60848
99	0.61041
100	0.61228
101	0.61408
102	0.61582
103	0.61749
104	0.6191
105	0.62064
106	0.62211
107	0.62353
108	0.6249
109	0.62621
110	0.62747
111	0.6287
112	0.62989
113	0.63104
114	0.63215
115	0.63324
116	0.6343
117	0.63533
118	0.63634
119	0.63732
120	0.63828
121	0.63923
122	0.64015
123	0.64105
124	0.64194
125	0.64281
126	0.64367
127	0.64451
128	0.64535
129	0.64617
130	0.64697
131	0.64777
132	0.64856
133	0.64934
134	0.65011
135	0.65087
136	0.65162
137	0.65237
138	0.65311
139	0.65384
140	0.65456
141	0.65528
142	0.65599
143	0.6567
144	0.6574
145	0.65809
146	0.65878
147	0.65946
148	0.66014
149	0.66081
150	0.66147
151	0.66213
152	0.66279
153	0.66344
154	0.66408
155	0.66472
156	0.66536
157	0.66598
158	0.66661
159	0.66723
160	0.66784
161	0.66845
162	0.66905
163	0.66964
164	0.67024
165	0.67082
166	2.4359
167	-1.2276
168	0.39529
169	-0.47487
170	0.039432
171	-0.084901
172	0.12929
173	0.15454
174	0.24018
175	0.25433
176	0.26689
177	0.25058
178	0.22928
179	0.20057
180	0.17355
181	0.14909
182	0.12981
183	0.1154
